Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
São Jorge do Patrocínio (PR);43,87;;73,62;2502;3539;3397;14,14;12,68;22,3;24,05;14,73;14,95;42,84;10,87
São Jorge (RS);43,9;0,48;75,73;1323;1451;1740;19,03;18,68;44,83;43,05;7,58;8,03;34,23;9,88
São José da Barra (MG);25,63;3,06;77,56;1884;4894;3074;34,49;36,24;8,98;6,27;69,45;74,33;26,73;8,5
São José da Bela Vista (SP);28,7;;75,61;921;7485;3917;10,4;9,41;32,82;29,52;3,65;3,56;15,98;10,39
São José da Boa Vista (PR);46,66;0,1;71,88;2647;3864;3058;12,24;13,82;52,06;52,44;5,59;5,92;20,37;10,02
São José da Coroa Grande (PE);18,87;0,33;69,15;4744;13436;6055;8,07;6,36;9,31;5,46;4,66;3,73;33,03;9,69
São José da Lagoa Tapada (PB);50,94;;68,34;4249;3315;2538;5;4,91;7,07;7,5;4,91;5,36;75,76;8,14
São José da Laje (AL);26,5;0,13;70,28;7295;15391;7092;8,95;9,48;25,08;28,52;25,85;27,25;15,71;8,8
São José da Lapa (MG);3,91;2,14;75,63;8399;11400;9543;17,16;14,52;2,37;2,85;47,86;39,97;34,1;9,69
São José da Safira (MG);25,25;26,69;70,91;1130;2945;1651;6,96;6,1;15,23;10,28;4,73;4,59;22,07;7,25
São José das Missões (RS);69,06;0,32;71,9;1892;828;1454;13,69;13,43;41,69;41,21;3,47;3,58;7,81;11,9
São José das Palmeiras (PR);39,48;0,2;75,64;1419;2411;1839;12,99;13,21;44,93;44,84;5,61;6,07;20,62;10,19
São José da Tapera (AL);60,6;0,23;67,2;18451;11637;10110;5,84;4,29;5,83;9,04;28,54;6,48;10,2;8,63
São José da Varginha (MG);44,88;0,38;76,41;1826;2372;2033;13,67;12,26;56,32;53,7;2,86;3,5;21,53;9,35
São José da Vitória (BA);41,91;0,18;66,16;553;5162;1966;5,15;5,29;12,7;12,44;5,82;5,62;79,21;8,57
São José de Caiana (PB);43,34;0,49;70,7;3281;2729;2008;4,67;4,45;8,71;9,03;5,67;4,95;79,45;7,87
São José de Espinharas (PB);47,33;0,23;72,41;3143;1617;1519;6,57;5,69;13,78;16,7;12,71;6,81;78,03;9,17
São José de Mipibu (RN);23,87;0,19;69,86;21544;18232;13822;11,94;11,39;6,08;5,07;22,39;21,24;13,48;9,01
São José de Piranhas (PB);35,26;;70,31;8301;10795;6903;6,58;6,57;7,71;7,86;5,46;6,81;68,08;9,19
São José de Princesa (PB);67,45;0,25;70,89;3524;695;1297;4,54;4,48;12,66;11,7;1,82;2,8;71,53;8,23
São José de Ribamar (MA);4,08;0,56;72,38;125336;37709;69608;7,23;7,09;1,2;1,32;16,31;16,19;24,96;10,21
São José de Ubá (RJ);42,08;0,2;72,88;3905;3098;3199;18,51;17,93;31,39;29,05;8,72;5,66;4,15;8,92
São José do Alegre (MG);30,79;0,1;75,2;1095;2901;1957;6,8;6,93;15,12;12,57;4,87;6,96;8,25;10,79
São José do Barreiro (SP);29,59;;73,8;1208;2869;1847;8,2;7,74;19,74;15,06;3,71;4,67;60,72;9,28
São José do Belmonte (PE);43,46;;71,12;16449;16168;12036;5,33;4,73;5,98;5,52;8,15;5,76;66,39;9,01
São José do Bonfim (PB);32,34;;67,76;1872;1361;1015;4,51;4,28;5,32;4,75;3,21;4,61;66,68;9,34
São José do Brejo do Cruz (PB);40,56;0,48;71,58;726;958;624;7,14;6,98;10,77;11,65;2,55;4,14;62,7;8,32
São José do Calçado (ES);29,02;0,13;73,81;2058;8350;4858;8,37;8,83;10,8;9,72;11,53;16,73;20,19;8,97
São José do Campestre (RN);33,57;;72,34;2084;10272;4214;4,71;4,67;2,49;2,52;3,4;3,26;20,14;9,45
São José do Cedro (SC);33,06;0,07;74,79;5237;8447;7781;18,1;16,79;20,53;20,18;20,77;18,75;26,74;10,07
São José do Cerrito (SC);63,36;;74,61;6781;2492;4225;20,19;16,27;14,63;21,84;59,22;42,57;48,81;9,12
São José do Divino (MG);44,64;;71,7;1109;2725;1549;6,61;6,36;20,21;19,96;4,27;4,08;1,25;10,12
São José do Divino (PI);62,07;0,34;71,5;2438;2710;2337;5,68;5,26;23,86;20,32;3,96;3,37;94,95;8,81
São José do Egito (PE);43,29;0,07;71,13;10869;20960;13417;7,08;6,46;13,26;12,61;12,52;11,24;62,78;9,63
São José do Goiabal (MG);35,38;0,12;73,83;1947;3689;2380;6,37;6,05;17,43;15,29;5,01;5,45;15,97;10,64
São José do Herval (RS);36,17;0,58;75,8;1337;867;874;15,74;14,16;40,28;30,76;4,75;5,08;69,9;9,85
São José do Hortêncio (RS);28,55;;74,46;1449;2645;2489;21,21;19,76;10,98;12,01;43,47;39,6;60,51;9,64
São José do Inhacorá (RS);57,83;;74,29;1368;832;1427;25,79;23,61;36,66;38,97;18,75;13,89;22,87;12,72
São José do Jacuípe (BA);49,34;;68,54;3189;6991;4179;4,74;4,88;14,51;17,23;5,46;5,2;3,24;7,72
São José do Jacuri (MG);52,14;;69,96;4547;2006;2590;6,78;6,47;25,46;23,02;10,19;9,25;33,23;8,48
São José do Mantimento (MG);45,12;;74,36;1143;1449;1071;7,31;7,04;18,57;17,71;5;4,89;17,06;9,27
São José do Norte (RS);51,56;0,21;72,52;8120;17383;11625;9,35;9,41;17,96;17,44;9,35;8,44;63,33;8,3
São José do Ouro (RS);43,74;0,06;75,73;2481;4423;3894;28,51;24,55;28,38;32,32;7,42;6,7;19,83;11,11
São José do Peixe (PI);43,3;0,64;70,96;1811;1889;1090;5,53;5,51;12,76;10,54;4,59;4,18;91,68;8,59
São José do Piauí (PI);42,51;;67,02;4662;1929;3347;4,64;4,87;8,54;14,39;5,21;4,56;68,85;9,12
São José do Povo (MT);43,27;;72,58;1858;1734;1368;6,99;7,11;26,15;24,91;2,08;2,71;33,98;9,03
São José do Rio Claro (MT);31,17;0,23;75,47;3956;13168;8455;23,31;20,12;45,09;37,72;10,36;13,22;55,23;8,55
São José do Rio Pardo (SP);14,57;0,11;77,05;5941;45959;25964;21,81;21,91;8,03;6,77;22,12;24,28;8,43;10,21
São José do Rio Preto (SP);1,53;0,06;75,74;24768;383490;224249;26,62;24,55;0,31;0,3;14,44;13,51;5,56;10,06
São José do Sabugi (PB);38,25;;71,88;1431;2579;1637;6,67;6,55;8,04;7,73;5,81;6,59;35,8;10,2
São José dos Ausentes (RS);47,39;;73,05;1228;2062;1525;17,35;19,51;43,79;48,29;7,78;5,1;83,17;10,03
São José dos Basílios (MA);67,78;0,09;68,13;4490;3006;2449;4,64;4,05;19,26;14,24;4,91;5,34;66,46;9,21
São José dos Campos (SP);1,18;1,28;76,27;12815;617106;326331;35,07;35,53;0,05;0,05;34,1;37,83;29,23;10,92
São José dos Cordeiros (PB);67,57;;71,69;2342;1643;1619;4,61;4,61;6,87;8,41;3,71;5,27;64,6;9,24
São José do Seridó (RN);20,45;0,13;73,89;929;3302;1825;9,49;9,87;12,32;12,46;22,33;22,21;57,99;10,01
São José dos Pinhais (PR);3,9;0,33;76,53;27315;236895;139773;61,1;55,27;1,63;1,85;43,65;43,12;57,24;9,68
São José dos Quatro Marcos (MT);24,91;0,23;73,95;4491;14507;8708;14,43;12,94;13,39;14,41;21,87;13,8;30,55;9,47
São José dos Ramos (PB);55,44;0,11;69,26;3135;2373;1959;5,16;5,01;9,75;8,11;3,27;4,09;7,94;8,61
São José do Sul (RS);43,76;;75,14;1362;720;1320;18,57;17,59;43,76;41,48;11,38;10,52;68,38;10,92
São José do Vale do Rio Preto (RJ);25,66;0,09;73,33;11244;9007;10343;12,99;13,73;20,95;24,04;7,26;6,7;46,55;8,71
São José do Xingu (MT);43,87;0,26;74,7;1457;3783;2189;26,79;25,95;59,44;58,79;3,24;3,58;54,8;7,3
São José (SC);0,73;0,09;77,81;2492;207312;118442;30,03;28,29;0,09;0,1;20,47;19,83;34,79;10,52
São Julião (PI);34,45;1,42;71,47;3347;2328;1929;4,72;4,33;6,23;8,84;5,29;4,64;62,47;7,89
São Leopoldo (RS);0,57;0,19;76,65;849;213238;109960;23,39;21,91;0,05;0,05;28,31;27,34;52,63;9,7
São Lourenço da Mata (PE);5,59;0,05;72,57;6118;96777;41476;6,55;6,41;1,8;2,36;11,75;15,44;20,72;9,34
São Lourenço da Serra (SP);12,39;0,15;74,36;1254;12719;6678;11,13;9,68;0,45;0,55;14,61;12,71;83,8;10,5
São Lourenço do Oeste (SC);19,87;;73,43;4912;16880;12516;26,08;22,98;9,05;9,19;34,48;30,97;28,21;9,79
São Lourenço do Piauí (PI);60,7;0,86;70,17;3314;1113;2170;4,63;4,4;6,58;6,96;7;5,85;68,11;8,38
São Lourenço do Sul (RS);50,24;0,04;75,95;18874;24237;24197;15,79;15,29;31,42;29,79;7,97;7,05;48,14;8,64
São Lourenço (MG);3,67;0,11;77,28;;41657;20334;14,37;13,94;0,23;0,17;8,52;8,43;13,55;9,66
São Ludgero (SC);14,27;;75,01;1130;9863;6283;37,65;34,62;18,44;19,58;42,49;39,74;49,6;9,56
São Luís de Montes Belos (GO);14,66;0,66;73,55;3449;26585;15143;14,86;16,03;6,84;6;19,29;26,93;13,61;10,04
São Luís do Curu (CE);23,81;;68,13;4371;7961;4562;5,4;5,14;8,3;6,12;8,11;8,93;82,29;9,55
São Luís do Paraitinga (SP);27,44;0,43;74,54;4217;6180;4945;10,9;9,57;15,32;15,05;5,58;5,77;36,57;10,14
São Luis do Piauí (PI);64,11;;70,44;1747;814;890;4,23;4,09;5,52;6,49;4,1;3,49;75,18;7,85
São Luís do Quitunde (AL);28,14;;67,05;11824;20588;10360;10,81;10,52;21,92;19,94;35,29;34,61;16,53;7,97
São Luís Gonzaga do Maranhão (MA);64,42;0,08;67,94;12257;7896;6145;5,78;5,21;27,86;29,64;10,2;7,36;42,89;8,56
São Luís (MA);1,83;0,86;73,76;56315;958522;491523;20,2;18,02;0,1;0,11;27,34;28,19;36,39;9,84
São Luíz do Norte (GO);34,32;0,43;73,04;709;3908;2184;11,95;11,24;31,05;33,59;8,98;6,18;38,06;9,4
São Luiz Gonzaga (RS);18,04;0,14;76,31;4048;30508;16363;19,35;19,59;22,17;22,79;7,83;6,82;33,39;10,69
São Luiz (RR);26,96;;72,29;2295;4455;2101;10,13;9,79;17,76;18,28;3,22;2,46;82,9;8,18
São Mamede (PB);26,93;0,28;70,87;1819;5929;2784;6,09;5,71;8,8;9,37;5,81;8,11;65,85;9,4
São Manoel do Paraná (PR);26,59;;74,5;939;1159;1096;16,13;14,45;45,54;38,91;5,53;6,03;17,61;11,48
São Manuel (SP);14,56;0,05;73,29;929;37413;18940;18,98;17,93;12,43;8,91;19,34;19,15;6,33;10,73
São Marcos (RS);12,4;0,11;76,31;2505;17598;11580;22,08;21,27;5,91;6,64;33,05;30,34;69,6;10,55
São Martinho da Serra (RS);51,52;;75,89;2259;942;1370;35,75;34,48;61,79;61,11;3,73;4,84;46,95;11
São Martinho (RS);43,27;0,1;74,78;2332;3441;3272;22,63;22,07;34,02;33,4;7,8;8,08;8,86;10,61
São Martinho (SC);48,24;0,14;74,8;1978;1231;2083;17,18;15,31;29,71;28,62;14,1;11,77;54,83;10,48
São Mateus do Maranhão (MA);37,25;0,31;68,37;10381;28712;13849;4,71;4,7;12,13;14,83;5,25;6,05;49,65;9,58
São Mateus do Sul (PR);31,97;2,08;75,29;15551;25706;20180;19,85;18,97;28,02;25,03;19,42;17,99;41,69;9,61
São Mateus (ES);22,75;2,82;75,55;24487;84541;53156;12,7;12,32;8,34;10,04;17,62;13,39;11,21;9,25
São Miguel Arcanjo (SP);43,96;;72,95;9948;21502;14351;13,47;12,69;38,63;37,64;5,52;5,8;25,59;10,51
São Miguel da Baixa Grande (PI);58,87;;71,45;752;1358;800;5,13;5,01;9,35;8,52;3,59;3,25;91,72;8,06
São Miguel da Boa Vista (SC);68,56;;72,67;1465;439;1201;12,77;11,47;41,71;36,16;3,3;3,47;29,76;12,26
São Miguel das Matas (BA);70,87;;71,98;7054;3360;5041;7,35;7,13;13,75;16,58;3,53;3,73;23,99;8,36
São Miguel das Missões (RS);53,03;0,11;74,26;3694;3727;3795;34,04;35,48;55,09;52,89;4,2;3,74;33,03;9,09
São Miguel de Taipu (PB);62,94;0,22;68,26;3719;2977;2396;5,44;5,28;24,02;24,55;5,88;5,36;4,39;8,86
São Miguel do Aleixo (SE);54,57;;70,16;1951;1747;1594;6,63;6,86;13,09;11,39;3,92;7,88;14,56;8,9
São Miguel do Anta (MG);56,68;;74,7;3014;3746;2809;6,73;6,69;24,24;21,94;8,35;7,38;21,28;9,25
São Miguel do Araguaia (GO);26,66;0,09;74,1;4622;17661;10062;14,75;13,98;31,49;31,38;7,3;5,44;41,35;8,36
São Miguel do Fidalgo (PI);64,32;;69,83;1891;1085;1218;4,7;4,67;13,92;12,58;3,16;2,96;84,32;8,02
São Miguel do Gostoso (RN);42,74;;72,39;4539;4131;3232;7,37;12,19;7,73;4,54;6,97;41,44;61,98;8,79
São Miguel do Guamá (PA);30,65;0,26;70,1;19683;31884;19422;7,95;7,23;34,25;31,88;12,12;11,13;51,4;7,82
São Miguel do Guaporé (RO);41,43;;71,87;13358;8470;9132;13,6;13,7;26,03;26,32;18,05;20,38;70,91;9,72
São Miguel do Iguaçu (PR);25,16;0,38;74,08;9284;16485;12719;27,12;27,04;21,75;21,76;18;16,43;20,54;9,41
São Miguel do Oeste (SC);12,17;0,05;78,06;4241;32065;21700;26,36;23,64;5,62;5,7;28;26,89;25,83;10,54
São Miguel do Passa Quatro (GO);38,21;0,45;73,09;1683;2074;1762;20,72;19,41;55,54;58,36;6,17;5,98;33,11;9,48
São Miguel dos Campos (AL);6,85;0,78;71,21;2011;52566;20298;14,89;12,3;10,17;8,28;42,41;34,37;12,3;9,02
São Miguel dos Milagres (AL);29,09;;70,14;4902;2261;2591;8,57;8,95;39,72;36,38;2,4;2,7;36,89;9,39
São Miguel do Tapuio (PI);47,51;0,2;71,8;11459;6675;4856;4,2;4,16;9,86;10,02;3,92;3,48;91,02;8,95
São Miguel do Tocantins (TO);32,42;0,47;70,7;7934;2547;3636;5,13;5,08;6,87;7,04;4,25;3,79;41,7;9,68
São Miguel (RN);36,39;;69,83;7657;14500;7625;6,16;5,96;7,74;5,58;4,05;3,38;54,48;10,27
São Nicolau (RS);56,19;;71,69;2035;3692;2952;12,51;14,66;38,02;44,23;3,87;3,43;52,1;10,59
São Patrício (GO);39,43;0,46;74,99;820;1171;881;12,01;11,53;35,56;39,31;7,31;5,85;16,05;10,33
São Paulo das Missões (RS);61,02;;74,52;4165;2199;3887;14,09;13,96;38,83;39,99;7,55;7,16;19,77;11,23
São Paulo de Olivença (AM);76,26;;71,77;17159;14263;10763;4,2;3,83;12,21;12,11;4,04;3,34;97,15;6,73
São Paulo do Potengi (RN);24,38;;69,63;4375;11468;6165;5,79;5,86;2,97;3,11;5,92;5,15;34,97;9,19
São Paulo (SP);0,33;0,07;76,3;101159;11152344;5836353;41,15;39,43;0,01;0,01;13,09;12,24;27,34;10,11
São Pedro da Água Branca (MA);28,87;3,34;69,09;1316;10712;4196;4,46;4,43;13,15;17,1;7,88;7,25;52,12;10,48
São Pedro da Aldeia (RJ);3,73;1,5;73,03;5727;82148;41006;14,7;14,59;1,43;1,52;18,72;16,06;11,17;8,98
São Pedro da Cipa (MT);23,87;1,16;72,39;455;3703;1815;9,25;7,03;4,67;7,68;33,53;13,51;59,25;9,97
São Pedro da Serra (RS);27,09;0,21;76,03;1886;1429;1997;13,27;12,73;24;21,61;20,11;17,39;67,11;10,67
São Pedro das Missões (RS);61,81;;73,26;1354;532;944;20,68;20,83;43,05;43,6;2,96;2,9;7,62;10,83
São Pedro da União (MG);68,63;0,2;75,16;2259;2781;2723;12,2;11,44;37,62;33,56;4,88;5,01;9,82;9,53
São Pedro de Alcântara (SC);17,85;0,15;75,77;975;3729;2345;8,55;9,15;20,62;22,68;11,06;10,9;73,2;11,02
São Pedro do Butiá (RS);51,06;;75,55;1664;1209;1592;18,59;18,63;50,15;50,93;6,03;5,71;8,63;11,05
São Pedro do Iguaçu (PR);35,18;;72,89;2436;4055;3196;18,58;17,68;44,21;37,6;4,85;4,87;17,62;10,54
São Pedro do Ivaí (PR);32,47;;75,18;2123;8044;5339;17,82;16,98;21,73;19,25;23,84;21,99;8,54;11,03
São Pedro do Paraná (PR);29,9;7,01;75,14;860;1631;1155;18,97;18,41;20,91;20,74;28,08;26,09;5,92;11,3
São Pedro do Piauí (PI);40,45;;71,57;5444;8195;4388;4,89;5,14;8,1;7,5;7,28;6,16;97,26;9,44
São Pedro dos Crentes (MA);36,92;;69,29;1988;2437;1459;7,97;7,4;43,75;42,73;4,04;4,32;74,24;9,85
São Pedro dos Ferros (MG);28,84;1,02;72,34;1573;6783;3521;10,23;8,92;28,44;24,95;12,14;11,4;13,27;9,07
São Pedro do Suaçuí (MG);43,27;0,89;72,08;3268;2302;2032;6,49;6,05;16,77;16;9,3;6,39;32,09;8,34
São Pedro do Sul (RS);33,47;0,1;74,45;4439;11929;8218;14,23;13,68;21,04;23,08;15,52;10,63;58,4;10,34
São Pedro do Turvo (SP);38,97;;74,58;2048;5150;3268;16,74;14,77;44,73;25,33;8,39;26,45;20,34;10,36
São Pedro (RN);29,84;;72,62;2741;3494;1874;5,93;6,05;4,59;4,78;5,58;6,15;19,11;8,96
São Pedro (SP);5,84;0,73;76,78;5055;26607;15686;13,43;12,75;8,29;9,15;10,83;9,91;15,47;9,73
São Rafael (RN);45,71;0,79;72,19;2573;5538;2750;5,52;5,7;14,73;14,32;4,21;4,29;42,34;10,07
São Raimundo das Mangabeiras (MA);35,13;0,13;69,96;4941;12533;6293;13,1;13,83;45,38;49,57;9,55;8,76;86,96;9,38
São Raimundo do Doca Bezerra (MA);61,81;0,19;66,99;4359;1731;1703;4,83;4,42;26,99;20,47;4,58;4,89;60,32;8,39
São Raimundo Nonato (PI);27,35;;71,75;11061;21266;14468;7,6;7,57;1,6;2,26;8,76;7,46;87,12;9,82
São Roberto (MA);53,35;0,2;69,27;3112;2845;1502;4,08;3,8;20,86;17,39;4,3;4,67;60,66;8,81
São Romão (MG);42,63;0,22;72,22;3807;6469;4448;7,02;6,86;30,04;26,36;5,34;6,77;70,96;8,42
São Roque de Minas (MG);41,39;0,39;75,27;2464;4222;3508;16,07;14,5;47,74;44,42;4,58;4,77;55,81;9,46
São Roque do Canaã (ES);46;0,18;73,16;5689;5584;5860;12,09;10,86;21,55;16,81;13,79;13,72;13,13;9,96
São Roque (SP);5,72;0,15;76,79;7333;71488;40654;20,52;20;1,61;1,63;22,29;18,66;45,96;10,28
São Salvador do Tocantins (TO);18,03;;72,63;1322;1588;825;6,91;6,82;15,58;17,66;2,98;2,66;78,61;6,32
São Sebastião (AL);59,54;;67,81;19701;12309;11492;5,94;5,92;21,96;17,36;2,59;2,78;4,65;8,96
São Sebastião da Amoreira (PR);30,4;;73,83;1033;7593;3971;13,8;14,41;26,13;27,55;5,31;4,78;9,11;11,67
São Sebastião da Bela Vista (MG);36,32;1,45;75,87;2059;2889;2381;14,39;27,41;9,72;4,93;9,13;8,53;10,67;8,42
São Sebastião da Boa Vista (PA);44,42;;70,62;13002;9902;7194;5,24;4,86;36,36;35,15;3,4;2,52;91,77;7,88
São Sebastião da Grama (SP);37,54;;74,19;4128;7971;6072;18,89;16,95;20,8;19,99;8,61;11,54;16,06;9,81
São Sebastião da Vargem Alegre (MG);49,37;3,29;74,64;1195;1603;1333;13,34;13,46;23,85;23,8;25,3;25,17;24,27;8,82
São Sebastião de Lagoa de Roça (PB);56,5;0,15;72,67;6382;4659;4885;4,74;4,72;6,52;6,63;3,13;4,47;9,67;9,07
São Sebastião do Alto (RJ);33,95;0,12;72,35;4283;4612;3887;13,12;12,89;22,82;19,3;5,6;6,18;5,52;8,47
São Sebastião do Anta (MG);61,17;0,24;70,98;1529;4210;2447;6,44;6,08;20,18;18,26;6,17;6,78;15;9,12
São Sebastião do Caí (RS);12,9;0,3;76,11;4324;17608;11629;18,39;17,49;3,63;3,63;23,03;22,24;49,8;10,49
São Sebastião do Maranhão (MG);58,86;;73,94;7397;3250;3746;4,38;4,3;18,4;17,09;3,61;3,57;36,23;8,51
São Sebastião do Oeste (MG);36,36;0,26;74,9;2558;3247;2900;43,41;43,21;21,36;17,69;44,06;45,04;21,02;7,67
São Sebastião do Paraíso (MG);15,48;0,1;75,15;5027;59953;32926;16,79;17,13;7,33;5,75;20,85;24,84;31,14;9,66
São Sebastião do Passé (BA);13,48;3,8;73,69;9041;33112;18046;12,29;10,63;3,1;3,76;41,59;34,19;18,11;8,19
São Sebastião do Rio Preto (MG);32,36;;73,55;737;876;739;8,19;7,7;10,12;9,75;3,98;3,85;26,83;9,05
São Sebastião do Rio Verde (MG);27,83;;75,71;789;1321;886;7,96;7,43;13,94;11,8;5,92;5,67;16,57;9,48
São Sebastião do Tocantins (TO);39,88;;69,86;1000;3283;1083;6,22;5,77;12,43;14,12;7,23;5,14;42,66;9,08
São Sebastião do Uatumã (AM);56,47;0,43;69,34;4801;5904;3816;5,32;4,78;23,87;23,55;6,07;4,75;93,9;8,01
São Sebastião do Umbuzeiro (PB);59,31;0,22;70,8;1138;2097;1610;5,38;5,35;9,95;13,04;2,26;3,71;88,19;9,81
São Sebastião (SP);1,71;1,34;77,51;833;73109;40504;50,62;29,65;0,23;0,31;8,77;12,79;87,81;10,35
São Sepé (RS);31,03;0,38;77,23;4977;18821;11478;20,92;20,53;34,14;33,08;9,74;9,6;44,42;9,73
São Simão (GO);10,72;0,35;74,51;779;16309;8543;93,45;117,36;0,75;0,68;86,4;89,61;6,97;9,74
São Simão (SP);13,33;1,21;76,11;1418;12928;7181;20,46;19,87;15,03;14,39;18,51;17,71;20,46;11,23
São Thomé das Letras (MG);23,58;28,19;73,03;2798;3857;3550;9,45;8,43;17,13;18,38;10,8;9,04;14,04;9,25
São Tiago (MG);32,55;1,08;74,48;2090;8471;4630;9,1;8,88;19,25;18,4;14,06;12,93;11,34;9,52
São Tomás de Aquino (MG);57,77;;77,46;1571;5522;3475;13,4;10,42;35,37;26,88;12,76;11,15;35,64;9,7
São Tomé (PR);14,71;1,85;73,95;903;4446;2704;19,73;19,06;28,76;29,31;25,56;22,59;15,92;11,08
São Tomé (RN);43,12;0,72;71,22;4886;5941;3917;5,06;5,17;3,76;3,76;3,96;3,93;79,08;8,94
São Valentim do Sul (RS);54,64;;75,9;1422;746;1385;16,12;15,63;38,76;37,38;13,05;12,45;57,64;9,93
São Valentim (RS);52,9;;74,18;1888;1744;2141;17,9;16,8;29,64;24,95;14,55;14,93;32,59;10,8
São Valério do Sul (RS);48,55;;73,97;2137;510;1267;12,71;12,71;49,92;52,04;3,54;3,44;17,58;8,63
São Valério (TO);36,23;0,89;73,81;1660;2723;1531;13,82;15,32;45,35;52,46;4,42;2,51;72,73;10,25
São Vendelino (RS);24,34;;76,14;591;1353;1295;19,87;20,21;8,95;7,24;35,48;36,21;77,42;11,28
São Vicente de Minas (MG);29,55;;75,72;1068;5940;3184;14,26;12,34;31,22;20,47;17,42;18,7;15,45;9,68
São Vicente do Sul (RS);35,19;;74,86;2559;5881;3994;19,15;18,9;44,13;45,51;5,81;5,45;51,82;9,19
São Vicente Ferrer (MA);58,8;;70,72;15432;5431;5939;4,22;4,01;25,78;21,92;5,05;5,19;50,08;8,82
São Vicente Ferrer (PE);48,71;0,09;67,9;5799;11201;5600;9,3;7,68;43,91;39,84;3,52;3,4;25,6;8,85
São Vicente (RN);39,09;0,18;72,19;2263;3765;1963;5,36;5,72;9,15;7,74;6,69;10,55;71,12;9,24
São Vicente (SP);0,4;0,35;76,39;628;331817;158445;10,72;10,19;0,04;0,05;9,91;8,82;69,75;10
Sapeaçu (BA);42,85;0,07;69,07;8501;8084;7189;6,59;6,83;28,9;27,22;7,26;10,11;1,99;8,23
Sapé (PB);28,2;0,07;67,64;12002;38141;16954;7,09;7,12;10,01;7,94;6,93;11,53;3,47;8,62
Sapezal (MT);31,1;0,43;75,14;2970;15124;9443;63,93;60,89;51,81;50,67;8,53;11,19;65,84;9,2
Sapiranga (RS);2,27;0,07;74,93;2699;72286;40365;24,82;25,81;0,19;0,17;43,03;41,62;56,23;9,45
Sapopema (PR);45,47;0,08;72,71;3184;3552;3234;9,46;9,57;34,77;30,73;10,72;11,69;28,71;10,34
Sapucaia do Sul (RS);1,07;0,43;75,65;488;130469;63471;16,64;15,75;0,15;0,14;38,7;36,18;55,6;9,71
Sapucaia (PA);33,97;0,28;72,52;1722;3325;2207;11,5;11,59;35,47;36,34;5,84;5,85;19,76;7,93
Sapucaia (RJ);17,98;0,31;73,26;4252;13273;7586;31,61;29,79;4,61;5,99;14,56;11,8;27,82;8,46
Sapucaí-Mirim (MG);19,68;0,96;75,49;2458;3783;2800;9,66;8,94;12,5;14,17;9,16;7,41;57,89;9,25
Saquarema (RJ);4,5;0,46;73,26;3778;70456;33564;18,67;18,11;1,17;0,96;13,27;18,39;25,82;8,62
Sarandi (PR);2,35;0,1;75,98;701;82146;40807;10,77;10,6;4,96;5,04;21;17,3;3,04;9,7
Sarandi (RS);16,14;0,12;76,5;3345;17940;11983;24,55;23,66;10,64;11,83;22,65;21,02;15,66;10,54
Sarapuí (SP);24,68;0,65;73,86;2381;6646;4039;10,08;9,72;11,74;19,99;18,82;12,09;17,17;10,03
Sardoá (MG);35,3;;73,71;3597;1997;2319;5,84;5,76;10,8;9,75;5,04;5,1;27,86;9,31
Sarutaiá (SP);44,02;1,22;72,65;665;2957;1716;10,77;10,45;31,43;27,55;6,31;9,56;15,92;10,08
Sarzedo (MG);4,61;6,8;77,28;282;25532;12794;25,29;17,85;0,27;0,37;55,15;43,12;26,06;9,52
Sátiro Dias (BA);68,16;;69,17;14632;4332;8029;4,06;4,85;12,05;22,6;7,8;6,25;17,69;7,62
Satuba (AL);3,46;0,31;72,62;1811;12792;4890;6,24;6,21;7,47;5,64;16,06;15,51;11,99;9,14
Satubinha (MA);74,02;;68,19;8356;3634;3616;3,18;3,08;19,1;18,29;3,57;3,96;13,69;7,71
Saubara (BA);43,59;0,14;69,29;253;10948;5012;6,93;6,82;17,09;19,26;11,27;7,68;41,19;9,01
Saudade do Iguaçu (PR);21,25;0,13;73,2;2525;2503;2491;82,9;82,41;4,31;3,9;86,62;86,44;18,23;11,16
Saudades (SC);37,8;;75,97;3893;5123;5661;20,71;20,29;25,66;21,93;32,72;34,17;25,06;11,66
Saúde (BA);48,49;0,53;66,12;5199;6646;4790;4,02;4,14;8,29;10,2;5,18;4,69;59,33;7,83
Schroeder (SC);7,55;;76,27;1613;13703;8939;18,43;15,06;5,58;3,5;43,35;37,75;79,52;10,27
Seabra (BA);41,82;0,16;70,63;21521;20277;18161;6,36;6,52;3,91;3,84;5,33;5,3;61,85;9,4
Seara (SC);29,03;;77,32;5350;11586;10499;33,34;31,31;15,35;14,41;40,3;39,43;42,8;10,87
Sebastianópolis do Sul (SP);14,27;;75,08;684;2347;1650;60,79;161,95;12,73;3,87;48,92;83,13;18,15;11,59
Sebastião Barros (PI);57,97;;71,21;2448;1112;1194;6,43;6,49;29,03;29,2;2,66;2,79;88,89;7,51
